database,event_group,event_note,drug_class,agent,context_class_suspect_n,event_class_suspect_n,a_agent_event,b_other_agent_status_event,c_agent_nonevent,d_other_agent_status_nonevent,difference_pp,ror,ror_ci_low,ror_ci_high,sparse,sparse_display_rule
FAERS,anaphylaxis_core,Narrow three-PT anaphylaxis outcome,NMBA,rocuronium,11090,2460,1367,1093,3882,4748,10.586486919330373,1.5296903672049147,1.397848089172152,1.6739677491745883,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,anaphylaxis_core,Narrow three-PT anaphylaxis outcome,NMBA,succinylcholine,11090,2460,403,2057,1537,7093,-1.4278514164052432,0.9041216039048472,0.8017467174701518,1.0195687201898718,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,anaphylaxis_core,Narrow three-PT anaphylaxis outcome,antibiotic_anchor,cefazolin,12436,1907,743,1164,1499,9030,24.7248503807722,3.845226714717028,3.454874551398932,4.279683174483577,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,anaphylaxis_core,Narrow three-PT anaphylaxis outcome,antibiotic_anchor,teicoplanin,12436,1907,58,1849,237,10292,0.7905003102027544,1.3622051376841855,1.0178961285326313,1.8229785781857453,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,periop_hypersensitivity_broad,Predefined broad PT expansion; construct sensitivity only,NMBA,rocuronium,11090,3005,1655,1350,3594,4491,10.622185041010802,1.5318957521795584,1.4081787071518153,1.6664820903961997,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,periop_hypersensitivity_broad,Predefined broad PT expansion; construct sensitivity only,NMBA,succinylcholine,11090,3005,476,2529,1464,6621,-2.2673404560735215,0.8512176782114359,0.7601820277623978,0.9531553091730542,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,periop_hypersensitivity_broad,Predefined broad PT expansion; construct sensitivity only,antibiotic_anchor,cefazolin,12436,2573,936,1637,1306,8557,23.136361861348117,3.7463256376986624,3.392514730371015,4.13703606296306,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,periop_hypersensitivity_broad,Predefined broad PT expansion; construct sensitivity only,antibiotic_anchor,teicoplanin,12436,2573,67,2506,228,9635,0.2922943667537925,1.129823511292197,0.8574146217779398,1.4887793306133144,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,bronchospasm_only,Bronchospasm PT only; phenotype sensitivity for the succinylcholine context,NMBA,rocuronium,11090,393,195,198,5054,5643,2.3714289588220137,1.099624060150376,0.899077896551865,1.3449035709797859,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,bronchospasm_only,Bronchospasm PT only; phenotype sensitivity for the succinylcholine context,NMBA,succinylcholine,11090,393,60,333,1880,8817,-2.3078454614156643,0.8450258769407706,0.6390655740943105,1.1173637912064078,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,bronchospasm_only,Bronchospasm PT only; phenotype sensitivity for the succinylcholine context,antibiotic_anchor,cefazolin,12436,212,84,128,2158,10066,21.96884569791564,3.061080861909175,2.3155533176870793,4.046642317226444,0,ROR withheld when the agent-event or agent-nonevent cell is <5
FAERS,bronchospasm_only,Bronchospasm PT only; phenotype sensitivity for the succinylcholine context,antibiotic_anchor,teicoplanin,12436,212,13,199,282,11942,3.8251382989232448,2.7664207562635874,1.5592132046622895,4.908298478875173,0,ROR withheld when the agent-event or agent-nonevent cell is <5
