database,country_field,drug_class,agent,crude_percentage_point_difference,mh_ror,breslow_day_statistic,breslow_day_df,breslow_day_p_value,core_standardized_to_noncore_country_mix_pp,noncore_standardized_to_core_country_mix_pp,missing_occr_core_n,missing_occr_noncore_n
FAERS,OCCR_COUNTRY,NMBA,rocuronium,10.586486919330369,1.368360137249239,6.17457916197227,2,0.04562545105523852,8.788463847754914,7.725378092660391,113,1782
FAERS,OCCR_COUNTRY,NMBA,succinylcholine,-1.4278514164052432,0.9520109284170617,7.947196528950665,2,0.0188056435667138,0.4964418430819368,-0.8143371839377322,113,1782
FAERS,OCCR_COUNTRY,antibiotic_anchor,cefazolin,24.724850380772196,4.55453698277826,1.1727575033526754,2,0.5563382804449464,27.563377267401595,25.91341249419854,99,1320
FAERS,OCCR_COUNTRY,antibiotic_anchor,teicoplanin,0.7905003102027544,0.905118345771827,22.35926734732609,2,1.395554449722448e-05,-0.6604707457848229,-0.11250110974171629,99,1320
