database,smq_scope,drug_class,agent,crude_difference_pp,mh_ror,core_standardized_to_noncore_country_mix_pp,noncore_standardized_to_core_country_mix_pp,gb_difference_pp,non_gb_observed_difference_pp,gb_vs_non_gb_sign_reversal
FAERS,narrow,NMBA,rocuronium,9.273057502201942,1.2908596563494479,7.205725240848794,6.288942049176533,11.671348314606744,5.4069710980104215,0
FAERS,narrow,NMBA,succinylcholine,-2.1214656059039436,0.9047926555793399,-0.6474555682351035,-1.4449248603663847,-0.014922752808989304,-1.8492250697421357,0
FAERS,narrow,antibiotic_anchor,cefazolin,23.555018125280608,4.3335364324604635,25.868827621850066,24.607174553963105,0.45209202138983856,27.85226791267233,0
FAERS,narrow,antibiotic_anchor,teicoplanin,1.0288487121073546,1.068821540243111,-0.18781045504435112,0.28589253495174616,8.037469787479182,-0.6955701054801509,1
FAERS,broad_algorithm,NMBA,rocuronium,9.316780326044372,1.2796191472944205,7.348253466460005,6.101574515149916,12.625416687193125,4.916014576082961,0
FAERS,broad_algorithm,NMBA,succinylcholine,-3.060333161093476,0.8487837905155041,-1.3953442108776957,-2.293170362086756,1.3990836987043704,-3.020539715578263,1
FAERS,broad_algorithm,antibiotic_anchor,cefazolin,19.890838066033762,3.69241307171182,21.929056971411327,20.93868190752141,1.2738853503184715,23.394410938722896,0
FAERS,broad_algorithm,antibiotic_anchor,teicoplanin,0.9947532907698946,1.0868219559052386,-0.13436798350510856,0.36344646876096437,10.098313176680884,-0.8464670646430235,1
