database,report_n,anaphylaxis_core_n,broad_hypersensitivity_n,kounis_takotsubo_n,anesthesia_background_n,broad_periop_background_n
Canada,1204167,7797,58253,170,18736,42518
JADER,998397,32665,40386,865,29850,65532
